select,engels,italiaans,reflexieve,prefix,infinitief,imperfectum singularis,imperfectum pluralis,participium,auxiliare,klasse ,vocaalverandering,,
1,steal,rubare,,,stelen ,stal,stalen,gestolen ,hebben,4A,e:-a/a:-o:,,
,"order, command",comandare,,be,velen ,beval,bevalen,bevolen ,hebben,4A,e:-a/a:-o:,,
1,shave,radere,,,scheren ,schoor,schoren,geschoren ,hebben,4B,e:-o:-o:,,
1,weigh,pesare,,,wegen ,woog,wogen,gewogen ,hebben,4B,e:-o:-o:,,
1,move,muovere,,be,wegen ,bewoog,bewogen,bewogen,hebben,4B,e:-o:-o:,,
,swear,giurare,,,zweren ,"zweerde, zwoor",,gezworen ,,4B,e:-o:-o:,,
,,,,ver,helen ,verheelde,,verheeld ,,,verholen[2] ,,"4, half sterk"
,revenge,vendicare,,,wreken ,wreekte,wreekten,gewroken ,hebben,"4, half sterk",,,
1,come,venire,,,komen ,kwam,kwamen,gekomen,zjin,"4, onregelmatig",,,
1,prevent,prevenire,,voor,komen ,voorkwam,voorkwamen,voorkomen,hebben,"4, onregelmatig",,,
,pray,pregare,,,bidden ,bad,baden,gebeden ,,5A,,,
1,eat,mangiare,,,eten ,at,aten,gegeten ,hebben,5A,e:-a/a:-e:,,
1,forget,dimenticare,,ver,geten ,vergat,vergaten,vergeten,hebben/zijn,5A,e:-a/a:-e:,,
1,give,dare,,,geven ,gaf,gaven,gegeven ,hebben,5A,e:-a/a:-e:,,
1,read,leggere,,,lezen ,las,lazen,gelezen ,hebben,5A,e:-a/a:-e:,,
1,measure,misurare,,,meten ,mat,maten,gemeten ,hebben,5A,e:-a/a:-e:,,
,,,,ge,nezen ,genas,,genezen ,,5A,e:-a/a:-e:,,
,,,,,treden ,trad,,getreden ,,5A,e:-a/a:-e:,,
,,,,,vreten ,vrat,,gevreten ,,5A,e:-a/a:-e:,,
1,lie,"sdraiarsi, distendere",,,liggen ,lag,lagen,gelegen ,hebben,5B,i-a/a:-e:,,
1,sit,sedersi,,,zitten ,zat,zaten,gezeten ,hebben,5B,i-a/a:-e:,,
,weave,tessere,,,weven ,weefde,weefden,geweven,hebben,"5, half sterk",,,
1,see,vedere,,,zien ,zag,zagen,gezien,hebben,"5, onregelmatig ",,,
1,"see, consider",guardare con attenzione,,be,zien ,bezag,bezagen,bezien,hebben,"5, onregelmatig ",,,
1,"foresee, anticipate",prevedere,,voor,zien ,voorzag,voorzagen,voorzien,hebben,"5, onregelmatig ",,,
1,"wear, carry","indossare, portare",,,dragen ,droeg,droegen,gedragen ,hebben,6,a:-oe-a:,,
1,amount,ammontare,,be,dragen ,bedroeg,bedroegen,bedragen,hebben,6,a:-oe-a:,,
1,behave,comportarsi,zich,ge,dragen ,gedroeg,gedroegen,gedragen ,hebben,6,a:-oe-a:,,
,"dig, excavate",scavare,,,graven ,groef,groeven,gegraven ,hebben,6,a:-oe-a:,,
1,"hit, strike","colpire, picchiare",,,slaan ,sloeg,sloegen,geslagen ,hebben,6,a:-oe-a:,,
,sail,navigare,,,varen ,voer,voeren,gevaren ,hebben/zijn,6,a:-oe-a:,,
,experience,fare esperienza,,er,varen ,"ervaarde, ervoer","ervaarden, ervoeren",ervaren ,hebben,6,,,
1,hunt,cacciare,,,jagen,joeg,joegen,gejaagd ,hebben,"6, alleen sterk in de onvoltooid verleden tijd ",,,
1,ask,"domandare, chiedere",,,vragen,vroeg,vroegen,gevraagd,hebben,"6, alleen sterk in de onvoltooid verleden tijd ",,,
,blow,soffiare,,,waaien ,"waaide, woei","waaiden, woeiden",gewaaid ,hebben,"6, alleen sterk in de onvoltooid verleden tijd ",,,
